Year	type	group	mid	lo	hi
2000	Incidence	Notifications	111.8407801	111.8407801	111.8407801
2001	Incidence	Notifications	111.839101	111.839101	111.839101
2002	Incidence	Notifications	116.8382995	116.8382995	116.8382995
2003	Incidence	Notifications	112.1644791	112.1644791	112.1644791
2004	Incidence	Notifications	117.6572641	117.6572641	117.6572641
2005	Incidence	Notifications	112.7217309	112.7217309	112.7217309
2006	Incidence	Notifications	114.5721129	114.5721129	114.5721129
2007	Incidence	Notifications	113.5585703	113.5585703	113.5585703
2008	Incidence	Notifications	112.9145894	112.9145894	112.9145894
2009	Incidence	Notifications	110.762818	110.762818	110.762818
2010	Incidence	Notifications	110.2879741	110.2879741	110.2879741
2011	Incidence	Notifications	110.615646	110.615646	110.615646
2012	Incidence	Notifications	113.0363444	113.0363444	113.0363444
2013	Incidence	Notifications	109.8668977	109.8668977	109.8668977
2014	Incidence	Notifications	108.5753903	108.5753903	108.5753903
1990	Mortality	HIV-	53	31	79
1991	Mortality	HIV-	50	30	75
1992	Mortality	HIV-	48	29	72
1993	Mortality	HIV-	46	28	68
1994	Mortality	HIV-	44	27	65
1995	Mortality	HIV-	42	27	61
1996	Mortality	HIV-	40	26	58
1997	Mortality	HIV-	39	25	55
1998	Mortality	HIV-	37	24	52
1999	Mortality	HIV-	35	23	50
2000	Mortality	HIV-	34	22	47
2001	Mortality	HIV-	32	22	45
2002	Mortality	HIV-	31	21	43
2003	Mortality	HIV-	30	20	41
2004	Mortality	HIV-	28	20	39
2005	Mortality	HIV-	27	19	37
2006	Mortality	HIV-	26	18	35
2007	Mortality	HIV-	25	17	34
2008	Mortality	HIV-	24	17	32
2009	Mortality	HIV-	23	16	31
2010	Mortality	HIV-	22	15	29
2011	Mortality	HIV-	21	14	28
2012	Mortality	HIV-	20	14	27
2013	Mortality	HIV-	19	13	26
2014	Mortality	HIV-	18	12	25
1990	Mortality	HIV+	0.08	0.06	0.1
1991	Mortality	HIV+	0.11	0.09	0.13
1992	Mortality	HIV+	0.15	0.13	0.18
1993	Mortality	HIV+	0.21	0.18	0.25
1994	Mortality	HIV+	0.29	0.25	0.34
1995	Mortality	HIV+	0.4	0.33	0.48
1996	Mortality	HIV+	0.53	0.45	0.63
1997	Mortality	HIV+	0.71	0.59	0.85
1998	Mortality	HIV+	0.95	0.77	1.1
1999	Mortality	HIV+	1.2	0.99	1.5
2000	Mortality	HIV+	1.5	1.2	1.9
2001	Mortality	HIV+	1.9	1.5	2.3
2002	Mortality	HIV+	2.2	1.8	2.7
2003	Mortality	HIV+	2.5	2	3.1
2004	Mortality	HIV+	2.7	2.2	3.4
2005	Mortality	HIV+	2.9	2.3	3.6
2006	Mortality	HIV+	2.9	2.4	3.5
2007	Mortality	HIV+	2.8	2.3	3.4
2008	Mortality	HIV+	2.7	2.2	3.2
2009	Mortality	HIV+	2.5	2.1	3
2010	Mortality	HIV+	2.5	2	3
2011	Mortality	HIV+	2.3	1.8	2.8
2012	Mortality	HIV+	2.1	1.6	2.7
2013	Mortality	HIV+	2.1	1.5	2.6
2014	Mortality	HIV+	2	1.4	2.7
