Year	type	group	mid	lo	hi
1998	Incidence	Notifications	326.6450917	326.6450917	326.6450917
1999	Incidence	Notifications	335.2438428	335.2438428	335.2438428
2000	Incidence	Notifications	337.2386289	337.2386289	337.2386289
2001	Incidence	Notifications	325.7449369	325.7449369	325.7449369
2002	Incidence	Notifications	465.7507566	465.7507566	465.7507566
2003	Incidence	Notifications	485.011125	485.011125	485.011125
2004	Incidence	Notifications	562.0883214	562.0883214	562.0883214
2005	Incidence	Notifications	560.1251582	560.1251582	560.1251582
2006	Incidence	Notifications	619.6197297	619.6197297	619.6197297
2007	Incidence	Notifications	635.6801226	635.6801226	635.6801226
2008	Incidence	Notifications	692.7758157	692.7758157	692.7758157
2009	Incidence	Notifications	707.7740902	707.7740902	707.7740902
2010	Incidence	Notifications	689.5428221	689.5428221	689.5428221
2011	Incidence	Notifications	697.7087411	697.7087411	697.7087411
2012	Incidence	Notifications	617.8454058	617.8454058	617.8454058
2013	Incidence	Notifications	591.8963744	591.8963744	591.8963744
2014	Incidence	Notifications	576.149793	576.149793	576.149793
1990	Mortality	HIV-	47	37	58
1991	Mortality	HIV-	46	37	57
1992	Mortality	HIV-	46	36	56
1993	Mortality	HIV-	45	36	56
1994	Mortality	HIV-	44	37	53
1995	Mortality	HIV-	47	40	54
1996	Mortality	HIV-	51	44	58
1997	Mortality	HIV-	54	48	61
1998	Mortality	HIV-	59	53	66
1999	Mortality	HIV-	64	57	70
2000	Mortality	HIV-	68	62	74
2001	Mortality	HIV-	73	67	79
2002	Mortality	HIV-	74	68	80
2003	Mortality	HIV-	76	69	82
2004	Mortality	HIV-	75	69	81
2005	Mortality	HIV-	75	64	86
2006	Mortality	HIV-	73	62	84
2007	Mortality	HIV-	69	59	80
2008	Mortality	HIV-	65	57	74
2009	Mortality	HIV-	62	54	71
2010	Mortality	HIV-	59	51	67
2011	Mortality	HIV-	55	51	60
2012	Mortality	HIV-	51	47	55
2013	Mortality	HIV-	47	44	51
2014	Mortality	HIV-	44	41	48
1990	Mortality	HIV+	0.99	0.8	1.2
1991	Mortality	HIV+	1.9	1.6	2.3
1992	Mortality	HIV+	3.4	2.7	4.1
1993	Mortality	HIV+	5.5	4.3	6.9
1994	Mortality	HIV+	8.6	6.6	11
1995	Mortality	HIV+	13	10	17
1996	Mortality	HIV+	21	16	27
1997	Mortality	HIV+	33	26	42
1998	Mortality	HIV+	51	40	64
1999	Mortality	HIV+	75	59	92
2000	Mortality	HIV+	102	80	127
2001	Mortality	HIV+	130	103	161
2002	Mortality	HIV+	158	128	190
2003	Mortality	HIV+	181	145	220
2004	Mortality	HIV+	195	154	240
2005	Mortality	HIV+	197	154	245
2006	Mortality	HIV+	190	151	234
2007	Mortality	HIV+	178	144	216
2008	Mortality	HIV+	170	137	206
2009	Mortality	HIV+	167	134	204
2010	Mortality	HIV+	163	131	198
2011	Mortality	HIV+	149	122	179
2012	Mortality	HIV+	130	106	155
2013	Mortality	HIV+	129	104	157
2014	Mortality	HIV+	134	107	164
