Year	type	group	mid	lo	hi
1999	Mortality	HIV+	3.5	2.9	4.2
2000	Mortality	HIV+	4.3	3.5	5.1
2001	Mortality	HIV+	4.9	4	5.9
2002	Mortality	HIV+	5.5	4.5	6.5
2003	Mortality	HIV+	5.8	4.7	7
2004	Mortality	HIV+	5.9	4.8	7.1
2005	Mortality	HIV+	5.7	4.7	6.9
2006	Mortality	HIV+	5.4	4.4	6.5
2007	Mortality	HIV+	4.9	4	5.9
2008	Mortality	HIV+	4.4	3.6	5.3
2009	Mortality	HIV+	4	3.3	4.8
2010	Mortality	HIV+	3.7	3.1	4.4
2011	Mortality	HIV+	3.3	2.8	4
2012	Mortality	HIV+	3	2.5	3.6
2013	Mortality	HIV+	2.6	2.2	3.1
2014	Mortality	HIV+	2.4	2	2.9
