Year	type	group	mid	lo	hi
1999	Incidence	HIV+	0.03	0.03	0.04
2000	Incidence	HIV+	0.04	0.04	0.05
2001	Incidence	HIV+	0.06	0.05	0.08
2002	Incidence	HIV+	0.09	0.07	0.11
2003	Incidence	HIV+	0.11	0.09	0.14
2004	Incidence	HIV+	0.14	0.12	0.18
2005	Incidence	HIV+	0.18	0.14	0.21
2006	Incidence	HIV+	0.21	0.17	0.25
2007	Incidence	HIV+	0.23	0.19	0.29
2008	Incidence	HIV+	0.26	0.21	0.32
2009	Incidence	HIV+	0.29	0.23	0.36
2010	Incidence	HIV+	0.31	0.25	0.39
2011	Incidence	HIV+	0.33	0.26	0.41
2012	Incidence	HIV+	0.34	0.27	0.43
2013	Incidence	HIV+	0.35	0.27	0.44
2014	Incidence	HIV+	0.36	0.28	0.45
1990	Incidence	Notifications	45.92523097	45.92523097	45.92523097
1991	Incidence	Notifications	51.65622138	51.65622138	51.65622138
1992	Incidence	Notifications	28.29148472	28.29148472	28.29148472
1993	Incidence	Notifications	47.60215043	47.60215043	47.60215043
1994	Incidence	Notifications	41.64822263	41.64822263	41.64822263
1995	Incidence	Notifications	47.6552087	47.6552087	47.6552087
1996	Incidence	Notifications	52.46095444	52.46095444	52.46095444
1997	Incidence	Notifications	51.32143095	51.32143095	51.32143095
1998	Incidence	Notifications	57.26895364	57.26895364	57.26895364
1999	Incidence	Notifications	61.62430815	61.62430815	61.62430815
2000	Incidence	Notifications	57.5537589	57.5537589	57.5537589
2001	Incidence	Notifications	57.03710942	57.03710942	57.03710942
2002	Incidence	Notifications	61.28308464	61.28308464	61.28308464
2003	Incidence	Notifications	63.60453775	63.60453775	63.60453775
2004	Incidence	Notifications	69.81919671	69.81919671	69.81919671
2005	Incidence	Notifications	86.13868193	86.13868193	86.13868193
2006	Incidence	Notifications	100.2394116	100.2394116	100.2394116
2007	Incidence	Notifications	100.5111531	100.5111531	100.5111531
2008	Incidence	Notifications	101.8950962	101.8950962	101.8950962
2009	Incidence	Notifications	107.3173696	107.3173696	107.3173696
2010	Incidence	Notifications	101.5006407	101.5006407	101.5006407
2011	Incidence	Notifications	100.62083	100.62083	100.62083
2012	Incidence	Notifications	108.6473264	108.6473264	108.6473264
2013	Incidence	Notifications	117.4020485	117.4020485	117.4020485
2014	Incidence	Notifications	120.1716046	120.1716046	120.1716046
1990	Mortality	HIV-	80	55	109
1991	Mortality	HIV-	79	56	106
1992	Mortality	HIV-	79	57	105
1993	Mortality	HIV-	79	57	103
1994	Mortality	HIV-	78	57	103
1995	Mortality	HIV-	78	57	102
1996	Mortality	HIV-	77	56	101
1997	Mortality	HIV-	76	56	100
1998	Mortality	HIV-	75	55	99
1999	Mortality	HIV-	74	54	97
2000	Mortality	HIV-	73	53	96
2001	Mortality	HIV-	72	53	95
2002	Mortality	HIV-	71	52	93
2003	Mortality	HIV-	69	50	90
2004	Mortality	HIV-	66	48	86
2005	Mortality	HIV-	63	46	82
2006	Mortality	HIV-	61	45	79
2007	Mortality	HIV-	59	43	76
2008	Mortality	HIV-	57	42	74
2009	Mortality	HIV-	55	40	72
2010	Mortality	HIV-	54	39	71
2011	Mortality	HIV-	53	38	69
2012	Mortality	HIV-	51	37	68
2013	Mortality	HIV-	51	37	67
2014	Mortality	HIV-	51	37	68
1990	Mortality	HIV+	0	0	0
1991	Mortality	HIV+	0	0	0
1992	Mortality	HIV+	0	0	0
1993	Mortality	HIV+	0	0	0
1994	Mortality	HIV+	0	0	0
1995	Mortality	HIV+	0	0	0
1996	Mortality	HIV+	0	0	0
1997	Mortality	HIV+	0.01	0.01	0.01
1998	Mortality	HIV+	0.01	0.01	0.01
1999	Mortality	HIV+	0.02	0.01	0.02
2000	Mortality	HIV+	0.02	0.02	0.03
2001	Mortality	HIV+	0.03	0.03	0.04
2002	Mortality	HIV+	0.04	0.03	0.04
2003	Mortality	HIV+	0.05	0.04	0.05
2004	Mortality	HIV+	0.05	0.05	0.06
2005	Mortality	HIV+	0.06	0.05	0.07
2006	Mortality	HIV+	0.07	0.06	0.08
2007	Mortality	HIV+	0.07	0.06	0.08
2008	Mortality	HIV+	0.07	0.06	0.09
2009	Mortality	HIV+	0.08	0.07	0.09
2010	Mortality	HIV+	0.08	0.07	0.1
2011	Mortality	HIV+	0.09	0.08	0.11
2012	Mortality	HIV+	0.1	0.08	0.11
2013	Mortality	HIV+	0.11	0.09	0.13
2014	Mortality	HIV+	0.11	0.09	0.14

