Year	type	group	mid	lo	hi
2008	Incidence	HIV+	30	14	51
2009	Incidence	HIV+	42	20	72
2010	Incidence	HIV+	48	23	82
2011	Incidence	HIV+	43	21	73
2012	Incidence	HIV+	40	19	69
2013	Incidence	HIV+	40	19	69
2014	Incidence	HIV+	42	20	72
1990	Incidence	Notifications	43.798784	43.798784	43.798784
1991	Incidence	Notifications	47.4381788	47.4381788	47.4381788
1992	Incidence	Notifications	45.52879622	45.52879622	45.52879622
1993	Incidence	Notifications	53.86853939	53.86853939	53.86853939
1994	Incidence	Notifications	104.0678255	104.0678255	104.0678255
1995	Incidence	Notifications	51.52439972	51.52439972	51.52439972
1996	Incidence	Notifications	60.85893041	60.85893041	60.85893041
1997	Incidence	Notifications	61.18307891	61.18307891	61.18307891
1998	Incidence	Notifications	63.17544777	63.17544777	63.17544777
1999	Incidence	Notifications	56.49346898	56.49346898	56.49346898
2000	Incidence	Notifications	58.07704374	58.07704374	58.07704374
2001	Incidence	Notifications	61.79704116	61.79704116	61.79704116
2002	Incidence	Notifications	59.24243365	59.24243365	59.24243365
2003	Incidence	Notifications	58.56078847	58.56078847	58.56078847
2004	Incidence	Notifications	56.75009703	56.75009703	56.75009703
2005	Incidence	Notifications	56.68197978	56.68197978	56.68197978
2006	Incidence	Notifications	56.8105955	56.8105955	56.8105955
2007	Incidence	Notifications	56.56506041	56.56506041	56.56506041
2008	Incidence	Notifications	61.2089011	61.2089011	61.2089011
2009	Incidence	Notifications	62.8005609	62.8005609	62.8005609
2010	Incidence	Notifications	60.06727436	60.06727436	60.06727436
2011	Incidence	Notifications	61.73254768	61.73254768	61.73254768
2012	Incidence	Notifications	57.75396841	57.75396841	57.75396841
2013	Incidence	Notifications	57.49408204	57.49408204	57.49408204
2014	Incidence	Notifications	54.75872673	54.75872673	54.75872673
1990	Mortality	HIV-	65	23	129
1991	Mortality	HIV-	64	24	123
1992	Mortality	HIV-	62	24	119
1993	Mortality	HIV-	61	24	115
1994	Mortality	HIV-	60	24	111
1995	Mortality	HIV-	59	24	108
1996	Mortality	HIV-	58	24	105
1997	Mortality	HIV-	57	25	104
1998	Mortality	HIV-	57	25	103
1999	Mortality	HIV-	57	25	102
2000	Mortality	HIV-	57	25	101
2001	Mortality	HIV-	57	25	100
2002	Mortality	HIV-	56	25	99
2003	Mortality	HIV-	55	25	97
2004	Mortality	HIV-	55	25	96
2005	Mortality	HIV-	54	25	94
2006	Mortality	HIV-	53	24	92
2007	Mortality	HIV-	51	24	89
2008	Mortality	HIV-	50	23	86
2009	Mortality	HIV-	44	20	77
2010	Mortality	HIV-	40	18	71
2011	Mortality	HIV-	40	18	70
2012	Mortality	HIV-	39	18	69
2013	Mortality	HIV-	37	17	66
2014	Mortality	HIV-	36	16	64
1990	Mortality	HIV+	9.2	4.7	15
1991	Mortality	HIV+	11	6.3	17
1992	Mortality	HIV+	13	8.1	20
1993	Mortality	HIV+	16	9.4	24
1994	Mortality	HIV+	18	11	28
1995	Mortality	HIV+	21	13	32
1996	Mortality	HIV+	24	14	36
1997	Mortality	HIV+	26	16	40
1998	Mortality	HIV+	29	17	43
1999	Mortality	HIV+	30	19	45
2000	Mortality	HIV+	32	19	47
2001	Mortality	HIV+	33	21	46
2002	Mortality	HIV+	33	22	45
2003	Mortality	HIV+	32	22	44
2004	Mortality	HIV+	31	22	42
2005	Mortality	HIV+	30	20	41
2006	Mortality	HIV+	28	20	37
2007	Mortality	HIV+	26	19	33
2008	Mortality	HIV+	24	17	31
2009	Mortality	HIV+	22	16	29
2010	Mortality	HIV+	20	15	27
2011	Mortality	HIV+	18	13	24
2012	Mortality	HIV+	16	11	22
2013	Mortality	HIV+	16	10	23
2014	Mortality	HIV+	16	8.8	24

