Incidence per 1000 by age and sex			
	Vietnam		
Total	0.237813	0.349393	0.129554
2007			
 0-4	0.029182	0.029461	0.028880
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.138397	0.159143	0.116795
 20-24 	0.390011	0.512552	0.264363
 25-29 	0.461119	0.651120	0.270870
 30-34 	0.436188	0.644999	0.229913
 35-39 	0.370638	0.557216	0.185436
 40-44 	0.292994	0.437796	0.149252
 45-49 	0.219319	0.322893	0.119409
 50-54 	0.160946	0.235645	0.091730
 55-59 	0.120846	0.185604	0.065801
 60-64 	0.099227	0.168895	0.045621
 65-69 	0.095822	0.172507	0.039644
 70-74 	0.093978	0.166195	0.046348
 75-79 	0.047633	0.110972	0.010779
 80+ 	0.000000	0.000000	0.000000
Total	0.211087	0.301969	0.122818
2008			
 0-4	0.022948	0.023138	0.022741
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.130557	0.151365	0.108830
 20-24 	0.366435	0.484518	0.245159
 25-29 	0.433508	0.615076	0.251130
 30-34 	0.410144	0.609345	0.213154
 35-39 	0.348574	0.526537	0.171953
 40-44 	0.275597	0.413519	0.138355
 45-49 	0.206269	0.304920	0.110663
 50-54 	0.151142	0.222484	0.084986
 55-59 	0.113871	0.175238	0.060956
 60-64 	0.093222	0.159574	0.042350
 65-69 	0.089961	0.162962	0.036739
 70-74 	0.088100	0.156968	0.042918
 75-79 	0.044683	0.104669	0.009892
 80+ 	0.000000	0.000000	0.000000
Total	0.199302	0.286868	0.114161
2009			
 0-4	0.021035	0.021189	0.020866
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.123056	0.144318	0.100797
 20-24 	0.343222	0.457672	0.225491
 25-29 	0.406464	0.580694	0.230918
 30-34 	0.384719	0.575352	0.196035
 35-39 	0.326922	0.497191	0.158125
 40-44 	0.258497	0.390320	0.127201
 45-49 	0.193512	0.287785	0.101733
 50-54 	0.141571	0.209923	0.078089
 55-59 	0.106890	0.165277	0.055964
 60-64 	0.087587	0.150685	0.039027
 65-69 	0.084258	0.153851	0.033770
 70-74 	0.082488	0.148236	0.039479
 75-79 	0.041644	0.098337	0.008868
 80+ 	0.000000	0.000000	0.000000
Total	0.187786	0.272431	0.105402
2010			
 0-4	0.018176	0.018297	0.018043
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.116992	0.138819	0.094091
 20-24 	0.323886	0.435531	0.208865
 25-29 	0.383912	0.552312	0.213800
 30-34 	0.363508	0.547293	0.181556
 35-39 	0.308709	0.472756	0.146370
 40-44 	0.244047	0.371053	0.117746
 45-49 	0.182868	0.273618	0.094178
 50-54 	0.133609	0.199502	0.072236
 55-59 	0.101001	0.157026	0.051729
 60-64 	0.083110	0.143339	0.036228
 65-69 	0.079509	0.146320	0.031255
 70-74 	0.077891	0.141042	0.036583
 75-79 	0.039005	0.092884	0.007944
 80+ 	0.000000	0.000000	0.000000
Total	0.177934	0.260254	0.097760
2011			
 0-4	0.015853	0.015948	0.015749
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.111144	0.132552	0.088638
 20-24 	0.305664	0.412304	0.195587
 25-29 	0.362256	0.522439	0.200073
 30-34 	0.343030	0.517724	0.169949
 35-39 	0.290973	0.447041	0.136940
 40-44 	0.230087	0.350930	0.110192
 45-49 	0.172568	0.258724	0.088128
 50-54 	0.126030	0.188563	0.067545
 55-59 	0.095306	0.148391	0.048338
 60-64 	0.078845	0.135581	0.033963
 65-69 	0.074905	0.138388	0.029237
 70-74 	0.073548	0.133471	0.034285
 75-79 	0.036473	0.087262	0.007242
 80+ 	0.000000	0.000000	0.000000
Total	0.168235	0.246981	0.091492
2012			
 0-4	0.016384	0.016465	0.016293
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.104135	0.124715	0.082461
 20-24 	0.286328	0.387331	0.181829
 25-29 	0.339068	0.490145	0.185814
 30-34 	0.321167	0.485729	0.157881
 35-39 	0.272106	0.419326	0.127176
 40-44 	0.215204	0.329278	0.102369
 45-49 	0.161511	0.242653	0.081852
 50-54 	0.117983	0.176798	0.062699
 55-59 	0.089203	0.139128	0.044848
 60-64 	0.074234	0.127184	0.031559
 65-69 	0.070004	0.129813	0.027143
 70-74 	0.068910	0.125270	0.031893
 75-79 	0.033985	0.081525	0.006638
 80+ 	0.000000	0.000000	0.000000
Total	0.157799	0.232407	0.085039
2013			
 0-4	0.015156	0.015207	0.015100
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.094675	0.112478	0.075896
 20-24 	0.261650	0.351722	0.168230
 25-29 	0.308954	0.444080	0.171654
 30-34 	0.292571	0.440074	0.145884
 35-39 	0.247564	0.379931	0.117508
 40-44 	0.195783	0.298419	0.094604
 45-49 	0.147063	0.219793	0.075621
 50-54 	0.107561	0.160110	0.057906
 55-59 	0.081265	0.125995	0.041400
 60-64 	0.067925	0.115215	0.029137
 65-69 	0.063673	0.117585	0.025064
 70-74 	0.062844	0.113529	0.029500
 75-79 	0.030848	0.073801	0.006119
 80+ 	0.000000	0.000000	0.000000
Total	0.143777	0.210813	0.078359
2014			
 0-4	0.007312	0.007322	0.007302
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.087388	0.103551	0.070315
 20-24 	0.243960	0.327492	0.157114
 25-29 	0.287202	0.412191	0.159986
 30-34 	0.272027	0.408455	0.135988
 35-39 	0.230001	0.352725	0.109561
 40-44 	0.181776	0.277035	0.088195
 45-49 	0.136601	0.203945	0.070482
 50-54 	0.100038	0.148556	0.053963
 55-59 	0.075537	0.116895	0.038555
 60-64 	0.063359	0.106927	0.027125
 65-69 	0.059262	0.109102	0.023345
 70-74 	0.058427	0.105400	0.027528
 75-79 	0.028740	0.068598	0.005738
 80+ 	0.000000	0.000000	0.000000
Total	0.132860	0.195003	0.072180
2015			
 0-4	0.005239	0.005236	0.005243
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.085404	0.100102	0.069861
 20-24 	0.240369	0.320100	0.157281
 25-29 	0.281887	0.401573	0.159826
 30-34 	0.266879	0.397889	0.135863
 35-39 	0.225505	0.343728	0.109497
 40-44 	0.178016	0.269783	0.088097
 45-49 	0.133825	0.198563	0.070404
 50-54 	0.098210	0.144670	0.053905
 55-59 	0.074123	0.113821	0.038477
 60-64 	0.062254	0.104157	0.027064
 65-69 	0.058310	0.106246	0.023296
 70-74 	0.057337	0.102711	0.027540
 75-79 	0.028224	0.066963	0.005791
 80+ 	0.000000	0.000000	0.000000
Total	0.129796	0.189470	0.071495
2016			
 0-4	0.004230	0.004222	0.004240
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.080672	0.095196	0.065303
 20-24 	0.228978	0.306726	0.147783
 25-29 	0.268222	0.383916	0.149955
 30-34 	0.254070	0.380317	0.127479
 35-39 	0.214705	0.328669	0.102779
 40-44 	0.169210	0.257796	0.082647
 45-49 	0.127220	0.189791	0.066067
 50-54 	0.093443	0.138251	0.050578
 55-59 	0.070548	0.108758	0.036070
 60-64 	0.059363	0.099561	0.025368
 65-69 	0.055820	0.101537	0.021829
 70-74 	0.054517	0.098222	0.025879
 75-79 	0.027058	0.064159	0.005491
 80+ 	0.000000	0.000000	0.000000
Total	0.122853	0.180503	0.066505
2017			
 0-4	0.002932	0.002924	0.002941
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.075579	0.088248	0.062164
 20-24 	0.215255	0.285958	0.141269
 25-29 	0.251943	0.357922	0.143318
 30-34 	0.238442	0.354455	0.121849
 35-39 	0.201506	0.306424	0.098277
 40-44 	0.158605	0.240257	0.079001
 45-49 	0.119328	0.176949	0.063173
 50-54 	0.087741	0.128835	0.048351
 55-59 	0.066276	0.101343	0.034458
 60-64 	0.055732	0.092801	0.024232
 65-69 	0.052678	0.094639	0.020853
 70-74 	0.051192	0.091600	0.024777
 75-79 	0.025433	0.059933	0.005300
 80+ 	0.000000	0.000000	0.000000
Total	0.114605	0.167470	0.062915
2018			
 0-4	0.002746	0.002739	0.002754
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.072905	0.085685	0.059359
 20-24 	0.209102	0.279330	0.135482
 25-29 	0.245435	0.350395	0.137559
 30-34 	0.232310	0.346841	0.116981
 35-39 	0.196450	0.299924	0.094382
 40-44 	0.154436	0.235164	0.075867
 45-49 	0.116145	0.173239	0.060680
 50-54 	0.085417	0.126060	0.046427
 55-59 	0.064604	0.099155	0.033072
 60-64 	0.054356	0.090815	0.023253
 65-69 	0.051671	0.092626	0.020026
 70-74 	0.049893	0.089725	0.023833
 75-79 	0.024929	0.058747	0.005136
 80+ 	0.000000	0.000000	0.000000
Total	0.110865	0.163066	0.059812
2019			
 0-4	0.002545	0.002538	0.002552
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.070840	0.084068	0.056791
 20-24 	0.204529	0.275482	0.130035
 25-29 	0.240956	0.346558	0.132132
 30-34 	0.228140	0.342844	0.112414
 35-39 	0.193062	0.296510	0.090719
 40-44 	0.151634	0.232567	0.072938
 45-49 	0.113907	0.171299	0.058332
 50-54 	0.083769	0.124587	0.044618
 55-59 	0.063469	0.098003	0.031778
 60-64 	0.053447	0.089774	0.022333
 65-69 	0.051047	0.091584	0.019260
 70-74 	0.049142	0.088836	0.022962
 75-79 	0.024626	0.058150	0.004981
 80+ 	0.000000	0.000000	0.000000
Total	0.108016	0.160284	0.056893
2020			
 0-4	0.002382	0.002375	0.002389
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.068989	0.082699	0.054373
 20-24 	0.200073	0.271829	0.124648
 25-29 	0.236514	0.342810	0.126710
 30-34 	0.224029	0.338936	0.107850
 35-39 	0.189696	0.293139	0.087053
 40-44 	0.148909	0.230047	0.070014
 45-49 	0.111649	0.169294	0.055962
 50-54 	0.082084	0.123114	0.042804
 55-59 	0.062335	0.096876	0.030488
 60-64 	0.052563	0.088756	0.021412
 65-69 	0.050359	0.090566	0.018494
 70-74 	0.048546	0.088002	0.022116
 75-79 	0.024319	0.057587	0.004831
 80+ 	0.000000	0.000000	0.000000
Total	0.105194	0.157508	0.054029
2021			
 0-4	0.002256	0.002250	0.002263
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.069253	0.082849	0.054683
 20-24 	0.200674	0.272371	0.125250
 25-29 	0.237624	0.344130	0.127364
 30-34 	0.225033	0.340078	0.108429
 35-39 	0.190570	0.294117	0.087540
 40-44 	0.149605	0.230948	0.070432
 45-49 	0.111987	0.169816	0.056265
 50-54 	0.082374	0.123535	0.043048
 55-59 	0.062639	0.097198	0.030658
 60-64 	0.052856	0.089065	0.021517
 65-69 	0.050711	0.090898	0.018615
 70-74 	0.049171	0.088454	0.022334
 75-79 	0.024483	0.057913	0.004916
 80+ 	0.000000	0.000000	0.000000
Total	0.104846	0.157067	0.053777
2022			
 0-4	0.002143	0.002137	0.002150
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.069651	0.083215	0.055025
 20-24 	0.201286	0.272992	0.125806
 25-29 	0.238806	0.345566	0.128064
 30-34 	0.226143	0.341421	0.108981
 35-39 	0.191507	0.295276	0.088015
 40-44 	0.150402	0.231988	0.070841
 45-49 	0.112417	0.170497	0.056572
 50-54 	0.082718	0.124079	0.043301
 55-59 	0.062957	0.097590	0.030828
 60-64 	0.053191	0.089434	0.021626
 65-69 	0.051051	0.091286	0.018732
 70-74 	0.049788	0.088871	0.022505
 75-79 	0.024666	0.058304	0.004995
 80+ 	0.000000	0.000000	0.000000
Total	0.104555	0.156733	0.053541
2023			
 0-4	0.002047	0.002040	0.002055
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.070051	0.083632	0.055314
 20-24 	0.201855	0.273567	0.126292
 25-29 	0.240005	0.347036	0.128780
 30-34 	0.227267	0.342852	0.109459
 35-39 	0.192469	0.296551	0.088458
 40-44 	0.151249	0.233097	0.071223
 45-49 	0.112927	0.171309	0.056875
 50-54 	0.083084	0.124690	0.043545
 55-59 	0.063272	0.098024	0.030988
 60-64 	0.053546	0.089840	0.021732
 65-69 	0.051383	0.091708	0.018837
 70-74 	0.050324	0.089232	0.022613
 75-79 	0.024977	0.058860	0.005110
 80+ 	0.000000	0.000000	0.000000
Total	0.104310	0.156489	0.053314
2024			
 0-4	0.001968	0.001960	0.001976
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.070430	0.084057	0.055555
 20-24 	0.202549	0.274302	0.126776
 25-29 	0.241198	0.348558	0.129461
 30-34 	0.228351	0.344301	0.109848
 35-39 	0.193447	0.297897	0.088858
 40-44 	0.152098	0.234217	0.071563
 45-49 	0.113487	0.172199	0.057160
 50-54 	0.083435	0.125305	0.043760
 55-59 	0.063568	0.098474	0.031130
 60-64 	0.053902	0.090265	0.021830
 65-69 	0.051721	0.092149	0.018932
 70-74 	0.050764	0.089565	0.022682
 75-79 	0.025506	0.059636	0.005289
 80+ 	0.000000	0.000000	0.000000
Total	0.104107	0.156327	0.053095
2025			
 0-4	0.001904	0.001896	0.001913
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.070786	0.084478	0.055764
 20-24 	0.203449	0.275311	0.127274
 25-29 	0.242378	0.350155	0.130073
 30-34 	0.229405	0.345778	0.110170
 35-39 	0.194434	0.299286	0.089211
 40-44 	0.152928	0.235336	0.071863
 45-49 	0.114083	0.173132	0.057420
 50-54 	0.083755	0.125867	0.043930
 55-59 	0.063823	0.098922	0.031250
 60-64 	0.054246	0.090703	0.021918
 65-69 	0.052079	0.092606	0.019021
 70-74 	0.051132	0.089905	0.022734
 75-79 	0.026184	0.060517	0.005481
 80+ 	0.000000	0.000000	0.000000
Total	0.103949	0.156254	0.052886
2026			
 0-4	0.001853	0.001846	0.001861
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.071140	0.084915	0.055966
 20-24 	0.204535	0.276580	0.127762
 25-29 	0.243531	0.351809	0.130607
 30-34 	0.230470	0.347322	0.110473
 35-39 	0.195415	0.300678	0.089512
 40-44 	0.153727	0.236447	0.072124
 45-49 	0.114695	0.174072	0.057651
 50-54 	0.084065	0.126442	0.044077
 55-59 	0.064093	0.099409	0.031367
 60-64 	0.054573	0.091151	0.021998
 65-69 	0.052452	0.093071	0.019104
 70-74 	0.051451	0.090257	0.022770
 75-79 	0.026818	0.061247	0.005597
 80+ 	0.000000	0.000000	0.000000
Total	0.103838	0.156268	0.052687
2027			
 0-4	0.001815	0.001810	0.001820
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.071543	0.085439	0.056187
 20-24 	0.205709	0.277986	0.128205
 25-29 	0.244647	0.353455	0.131094
 30-34 	0.231617	0.348998	0.110823
 35-39 	0.196363	0.302021	0.089760
 40-44 	0.154487	0.237546	0.072352
 45-49 	0.115318	0.175004	0.057857
 50-54 	0.084396	0.127052	0.044216
 55-59 	0.064364	0.099918	0.031482
 60-64 	0.054879	0.091603	0.022071
 65-69 	0.052833	0.093539	0.019176
 70-74 	0.051752	0.090640	0.022806
 75-79 	0.027303	0.061660	0.005623
 80+ 	0.000000	0.000000	0.000000
Total	0.103772	0.156362	0.052503
2028			
 0-4	0.001787	0.001785	0.001789
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.071996	0.086061	0.056418
 20-24 	0.206826	0.279340	0.128562
 25-29 	0.245705	0.354991	0.131527
 30-34 	0.232801	0.350728	0.111210
 35-39 	0.197194	0.303193	0.089930
 40-44 	0.155188	0.238589	0.072540
 45-49 	0.115916	0.175876	0.058028
 50-54 	0.084742	0.127677	0.044346
 55-59 	0.064615	0.100410	0.031585
 60-64 	0.055151	0.092035	0.022132
 65-69 	0.053204	0.093984	0.019235
 70-74 	0.052041	0.091027	0.022845
 75-79 	0.027615	0.061776	0.005585
 80+ 	0.000000	0.000000	0.000000
Total	0.103726	0.156493	0.052323
2029			
 0-4	0.001769	0.001768	0.001769
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.072452	0.086723	0.056633
 20-24 	0.207799	0.280530	0.128825
 25-29 	0.246704	0.356371	0.131863
 30-34 	0.233891	0.352343	0.111559
 35-39 	0.197846	0.304107	0.090009
 40-44 	0.155811	0.239522	0.072681
 45-49 	0.116444	0.176625	0.058156
 50-54 	0.085076	0.128265	0.044456
 55-59 	0.064819	0.100838	0.031659
 60-64 	0.055374	0.092419	0.022177
 65-69 	0.053539	0.094381	0.019280
 70-74 	0.052311	0.091374	0.022873
 75-79 	0.027781	0.061717	0.005508
 80+ 	0.000000	0.000000	0.000000
Total	0.103673	0.156614	0.052139
2030			
 0-4	0.001760	0.001761	0.001760
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.072864	0.087356	0.056815
 20-24 	0.208595	0.281515	0.129005
 25-29 	0.247639	0.357555	0.132086
 30-34 	0.234793	0.353709	0.111823
 35-39 	0.198330	0.304775	0.090017
 40-44 	0.156334	0.240289	0.072771
 45-49 	0.116877	0.177222	0.058240
 50-54 	0.085378	0.128776	0.044540
 55-59 	0.064969	0.101167	0.031693
 60-64 	0.055526	0.092738	0.022203
 65-69 	0.053825	0.094713	0.019311
 70-74 	0.052549	0.091648	0.022876
 75-79 	0.027860	0.061597	0.005422
 80+ 	0.000000	0.000000	0.000000
Total	0.103597	0.156696	0.051948
2031			
 0-4	0.001761	0.001761	0.001761
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.073188	0.087887	0.056949
 20-24 	0.209210	0.282293	0.129109
 25-29 	0.248472	0.358484	0.132192
 30-34 	0.235451	0.354736	0.111982
 35-39 	0.198696	0.305265	0.089990
 40-44 	0.156726	0.240821	0.072801
 45-49 	0.117193	0.177642	0.058277
 50-54 	0.085628	0.129171	0.044590
 55-59 	0.065062	0.101412	0.031702
 60-64 	0.055637	0.092985	0.022221
 65-69 	0.054047	0.094966	0.019329
 70-74 	0.052755	0.091846	0.022858
 75-79 	0.027905	0.061461	0.005350
 80+ 	0.000000	0.000000	0.000000
Total	0.103480	0.156708	0.051743
2032			
 0-4	0.001767	0.001767	0.001767
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.073407	0.088277	0.057038
 20-24 	0.209674	0.282905	0.129146
 25-29 	0.249155	0.359100	0.132196
 30-34 	0.235899	0.355438	0.112070
 35-39 	0.199039	0.305709	0.089980
 40-44 	0.156953	0.241060	0.072766
 45-49 	0.117384	0.177879	0.058270
 50-54 	0.085816	0.129436	0.044606
 55-59 	0.065116	0.101578	0.031697
 60-64 	0.055696	0.093146	0.022229
 65-69 	0.054200	0.095130	0.019331
 70-74 	0.052934	0.091967	0.022831
 75-79 	0.027950	0.061362	0.005301
 80+ 	0.000000	0.000000	0.000000
Total	0.103308	0.156627	0.051520
2033			
 0-4	0.001777	0.001777	0.001777
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.073524	0.088523	0.057081
 20-24 	0.209979	0.283352	0.129112
 25-29 	0.249632	0.359369	0.132115
 30-34 	0.236192	0.355837	0.112101
 35-39 	0.199365	0.306112	0.089990
 40-44 	0.156974	0.240950	0.072655
 45-49 	0.117458	0.177941	0.058220
 50-54 	0.085934	0.129560	0.044586
 55-59 	0.065139	0.101664	0.031682
 60-64 	0.055697	0.093215	0.022223
 65-69 	0.054282	0.095201	0.019320
 70-74 	0.053082	0.092010	0.022800
 75-79 	0.027989	0.061274	0.005253
 80+ 	0.000000	0.000000	0.000000
Total	0.103071	0.156438	0.051273
2034			
 0-4	0.001788	0.001788	0.001789
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.073548	0.088638	0.057078
 20-24 	0.210084	0.283593	0.129000
 25-29 	0.249866	0.359294	0.131953
 30-34 	0.236337	0.355891	0.112039
 35-39 	0.199565	0.306326	0.089971
 40-44 	0.156786	0.240501	0.072473
 45-49 	0.117436	0.177846	0.058133
 50-54 	0.085972	0.129539	0.044532
 55-59 	0.065129	0.101665	0.031655
 60-64 	0.055644	0.093192	0.022197
 65-69 	0.054296	0.095183	0.019296
 70-74 	0.053184	0.091970	0.022761
 75-79 	0.028000	0.061135	0.005192
 80+ 	0.000000	0.000000	0.000000
Total	0.102765	0.156133	0.051001
2035			
 0-4	0.001801	0.001801	0.001802
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.073504	0.088657	0.057035
 20-24 	0.209958	0.283585	0.128812
 25-29 	0.249843	0.358889	0.131714
 30-34 	0.236338	0.355575	0.111868
 35-39 	0.199558	0.306232	0.089887
 40-44 	0.156437	0.239794	0.072239
 45-49 	0.117320	0.177585	0.058008
 50-54 	0.085926	0.129378	0.044446
 55-59 	0.065084	0.101578	0.031611
 60-64 	0.055553	0.093085	0.022148
 65-69 	0.054234	0.095081	0.019262
 70-74 	0.053228	0.091846	0.022710
 75-79 	0.027983	0.060914	0.005120
 80+ 	0.000000	0.000000	0.000000
Total	0.102385	0.155703	0.050700
2036			
 0-4	0.001816	0.001816	0.001817
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.073411	0.088609	0.056962
 20-24 	0.209590	0.283293	0.128552
 25-29 	0.249568	0.358179	0.131401
 30-34 	0.236198	0.354893	0.111600
 35-39 	0.199324	0.305797	0.089733
 40-44 	0.156015	0.238974	0.071989
 45-49 	0.117105	0.177141	0.057846
 50-54 	0.085797	0.129087	0.044332
 55-59 	0.065002	0.101399	0.031548
 60-64 	0.055414	0.092898	0.022086
 65-69 	0.054125	0.094892	0.019220
 70-74 	0.053214	0.091644	0.022649
 75-79 	0.027961	0.060650	0.005056
 80+ 	0.000000	0.000000	0.000000
Total	0.101926	0.155142	0.050370
2037			
 0-4	0.001831	0.001831	0.001832
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.073269	0.088493	0.056858
 20-24 	0.208996	0.282713	0.128228
 25-29 	0.249070	0.357202	0.131017
 30-34 	0.235924	0.353894	0.111270
 35-39 	0.198950	0.305140	0.089543
 40-44 	0.155641	0.238231	0.071767
 45-49 	0.116781	0.176500	0.057644
 50-54 	0.085591	0.128681	0.044193
 55-59 	0.064885	0.101134	0.031467
 60-64 	0.055247	0.092639	0.022019
 65-69 	0.053966	0.094624	0.019165
 70-74 	0.053144	0.091372	0.022580
 75-79 	0.027950	0.060372	0.005007
 80+ 	0.000000	0.000000	0.000000
Total	0.101388	0.154448	0.050009
2038			
 0-4	0.001845	0.001844	0.001846
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.073065	0.088292	0.056718
 20-24 	0.208225	0.281887	0.127851
 25-29 	0.248370	0.356007	0.130577
 30-34 	0.235523	0.352656	0.110908
 35-39 	0.198524	0.304352	0.089337
 40-44 	0.155338	0.237605	0.071583
 45-49 	0.116332	0.175645	0.057399
 50-54 	0.085326	0.128190	0.044035
 55-59 	0.064737	0.100795	0.031371
 60-64 	0.055061	0.092319	0.021950
 65-69 	0.053764	0.094292	0.019098
 70-74 	0.053027	0.091043	0.022504
 75-79 	0.027943	0.060083	0.004968
 80+ 	0.000000	0.000000	0.000000
Total	0.100777	0.153633	0.049620
2039			
 0-4	0.001856	0.001855	0.001857
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.072789	0.087996	0.056535
 20-24 	0.207327	0.280867	0.127431
 25-29 	0.247470	0.354626	0.130094
 30-34 	0.234980	0.351225	0.110521
 35-39 	0.198040	0.303368	0.089086
 40-44 	0.155008	0.236948	0.071402
 45-49 	0.115768	0.174600	0.057116
 50-54 	0.085023	0.127634	0.043865
 55-59 	0.064557	0.100390	0.031261
 60-64 	0.054864	0.091948	0.021879
 65-69 	0.053535	0.093909	0.019025
 70-74 	0.052864	0.090662	0.022421
 75-79 	0.027925	0.059773	0.004934
 80+ 	0.000000	0.000000	0.000000
Total	0.100101	0.152707	0.049205
2040			
 0-4	0.001864	0.001863	0.001865
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.072440	0.087600	0.056310
 20-24 	0.206344	0.279703	0.126979
 25-29 	0.246371	0.353069	0.129580
 30-34 	0.234280	0.349624	0.110108
 35-39 	0.197488	0.302142	0.088778
 40-44 	0.154571	0.236137	0.071195
 45-49 	0.115132	0.173443	0.056813
 50-54 	0.084686	0.127014	0.043682
 55-59 	0.064342	0.099926	0.031139
 60-64 	0.054659	0.091530	0.021804
 65-69 	0.053303	0.093486	0.018955
 70-74 	0.052639	0.090224	0.022329
 75-79 	0.027883	0.059434	0.004902
 80+ 	0.000000	0.000000	0.000000
Total	0.099361	0.151673	0.048766
2041			
 0-4	0.001870	0.001869	0.001871
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.072033	0.087115	0.056060
 20-24 	0.205310	0.278445	0.126508
 25-29 	0.245106	0.351376	0.129048
 30-34 	0.233439	0.347892	0.109673
 35-39 	0.196882	0.300698	0.088425
 40-44 	0.154019	0.235160	0.070959
 45-49 	0.114504	0.172305	0.056519
 50-54 	0.084316	0.126327	0.043486
 55-59 	0.064096	0.099418	0.031008
 60-64 	0.054452	0.091079	0.021724
 65-69 	0.053051	0.093028	0.018884
 70-74 	0.052402	0.089764	0.022230
 75-79 	0.027822	0.059080	0.004874
 80+ 	0.000000	0.000000	0.000000
Total	0.098567	0.150545	0.048309
2042			
 0-4	0.001875	0.001873	0.001876
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.071593	0.086558	0.055806
 20-24 	0.204247	0.277129	0.126030
 25-29 	0.243736	0.349606	0.128513
 30-34 	0.232492	0.346080	0.109221
 35-39 	0.196262	0.299140	0.088061
 40-44 	0.153451	0.234167	0.070726
 45-49 	0.113997	0.171362	0.056277
 50-54 	0.083916	0.125581	0.043277
 55-59 	0.063829	0.098886	0.030873
 60-64 	0.054252	0.090611	0.021641
 65-69 	0.052799	0.092551	0.018813
 70-74 	0.052161	0.089305	0.022140
 75-79 	0.027748	0.058727	0.004850
 80+ 	0.000000	0.000000	0.000000
Total	0.097735	0.149349	0.047839
2043			
 0-4	0.001878	0.001876	0.001879
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.071138	0.085957	0.055552
 20-24 	0.203151	0.275769	0.125538
 25-29 	0.242319	0.347806	0.127977
 30-34 	0.231453	0.344227	0.108755
 35-39 	0.195642	0.297560	0.087704
 40-44 	0.152937	0.233236	0.070505
 45-49 	0.113621	0.170636	0.056091
 50-54 	0.083473	0.124766	0.043047
 55-59 	0.063552	0.098350	0.030736
 60-64 	0.054059	0.090138	0.021557
 65-69 	0.052552	0.092065	0.018737
 70-74 	0.051930	0.088857	0.022065
 75-79 	0.027662	0.058382	0.004827
 80+ 	0.000000	0.000000	0.000000
Total	0.096875	0.148104	0.047360
2044			
